"Accession"	"Description"	"Gene"	"Uniprot"	"Family"	"Score"	"Coverage"	"X..Proteins"	"X..Unique.Peptides"	"X..Peptides"	"X..PSMs"	"Area"	"X..AAs"	"MW..kDa."	"calc..pI"	"cellLine"	"replicate"	"referenceSample"	"refSampleReplicate"	"ratio"	"variability"	"count"	"condition"	"log2ratio"
"P54646"	"5-AMP-activated protein kinase catalytic subunit alpha-2 OS	PRKAA2	AAPK2	CAMK	152.5	32.43%	1	9	16	67	7.8e+09	552	62.3	7.75	Syn1	3	Syn1	1	0.881	23.7	15	Syn1_3/Syn1_1	-0.182786075741673
P54646	5-AMP-activated protein kinase catalytic subunit alpha-2 OS"	"PRKAA2"	"AAPK2"	"CAMK"	152.5	"32.43%"	1	9	16	67	7.8e+09	552	62.3	7.75	"Syn5"	1	"Syn1"	1	0.957	14.6	15	"Syn5_1/Syn1_1"	-0.0634091701760615
"P54646"	"5-AMP-activated protein kinase catalytic subunit alpha-2 OS	PRKAA2	AAPK2	CAMK	152.5	32.43%	1	9	16	67	7.8e+09	552	62.3	7.75	Syn5	1	Syn1	2	0.873	8.7	15	Syn5_1/Syn1_2	-0.195946441032647
P54646	5-AMP-activated protein kinase catalytic subunit alpha-2 OS"	"PRKAA2"	"AAPK2"	"CAMK"	152.5	"32.43%"	1	9	16	67	7.8e+09	552	62.3	7.75	"Syn5"	1	"Syn1"	3	1.031	7.9	15	"Syn5_1/Syn1_3"	0.0440443327060212
"P54646"	"5-AMP-activated protein kinase catalytic subunit alpha-2 OS	PRKAA2	AAPK2	CAMK	152.5	32.43%	1	9	16	67	7.8e+09	552	62.3	7.75	Syn5	2	Syn1	1	0.938	19.3	15	Syn5_2/Syn1_1	-0.0923401721467106
P54646	5-AMP-activated protein kinase catalytic subunit alpha-2 OS"	"PRKAA2"	"AAPK2"	"CAMK"	152.5	"32.43%"	1	9	16	67	7.8e+09	552	62.3	7.75	"Syn5"	2	"Syn1"	2	0.912	32.5	15	"Syn5_2/Syn1_2"	-0.132894270497345
"P54646"	"5-AMP-activated protein kinase catalytic subunit alpha-2 OS	PRKAA2	AAPK2	CAMK	152.5	32.43%	1	9	16	67	7.8e+09	552	62.3	7.75	Syn5	2	Syn1	3	1.028	20.8	15	Syn5_2/Syn1_3	0.0398402645317911
P54646	5-AMP-activated protein kinase catalytic subunit alpha-2 OS"	"PRKAA2"	"AAPK2"	"CAMK"	152.5	"32.43%"	1	9	16	67	7.8e+09	552	62.3	7.75	"Syn5"	3	"Syn1"	1	1.01	17.7	15	"Syn5_3/Syn1_1"	0.0143552929770701
"P54646"	"5-AMP-activated protein kinase catalytic subunit alpha-2 OS	PRKAA2	AAPK2	CAMK	152.5	32.43%	1	9	16	67	7.8e+09	552	62.3	7.75	Syn5	3	Syn1	2	0.998	24.4	15	Syn5_3/Syn1_2	-0.00288827932482651
P54646	5-AMP-activated protein kinase catalytic subunit alpha-2 OS"	"PRKAA2"	"AAPK2"	"CAMK"	152.5	"32.43%"	1	9	16	67	7.8e+09	552	62.3	7.75	"Syn5"	3	"Syn1"	3	1.234	10.4	15	"Syn5_3/Syn1_3"	0.303342394487331
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn1"	2	"Syn1"	1	1.152	NA	1	"Syn1_2/Syn1_1"	0.204140716780225
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn1"	3	"Syn1"	1	1.23	NA	1	"Syn1_3/Syn1_1"	0.298658315564515
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	1	"Syn1"	1	1.222	NA	1	"Syn5_1/Syn1_1"	0.289244285156642
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	1	"Syn1"	2	1.267	NA	1	"Syn5_1/Syn1_2"	0.341416524478722
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	1	"Syn1"	3	1.263	NA	1	"Syn5_1/Syn1_3"	0.336854639125465
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	2	"Syn1"	1	1.038	NA	1	"Syn5_2/Syn1_1"	0.0538064436957938
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	2	"Syn1"	2	1.089	NA	1	"Syn5_2/Syn1_2"	0.12300395405482
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	2	"Syn1"	3	1.056	NA	1	"Syn5_2/Syn1_3"	0.0786098346963665
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	3	"Syn1"	1	1.003	NA	1	"Syn5_3/Syn1_1"	0.00432160595009347
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	3	"Syn1"	2	1.034	NA	1	"Syn5_3/Syn1_2"	0.0482361856528476
"P54753"	"Ephrin type-B receptor 3 OS"	"EPHB3"	"EPHB3"	"TK"	125.55	"10.62%"	3	1	10	46	2.89e+10	998	110.3	6.32	"Syn5"	3	"Syn1"	3	1.059	NA	1	"Syn5_3/Syn1_3"	0.0827025893302493
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn1"	2	"Syn1"	1	1.052	24.2	173	"Syn1_2/Syn1_1"	0.0731347046302154
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn1"	3	"Syn1"	1	0.936	16.4	173	"Syn1_3/Syn1_1"	-0.0954195650786824
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	1	"Syn1"	1	0.809	30.9	173	"Syn5_1/Syn1_1"	-0.305788392232109
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	1	"Syn1"	2	0.86	17.6	173	"Syn5_1/Syn1_2"	-0.217591435072627
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	1	"Syn1"	3	1.035	15.3	173	"Syn5_1/Syn1_3"	0.0496307677246004
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	2	"Syn1"	1	0.771	48.3	173	"Syn5_2/Syn1_1"	-0.375197234747053
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	2	"Syn1"	2	0.793	31.4	173	"Syn5_2/Syn1_2"	-0.334607228958109
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	2	"Syn1"	3	1.025	28.6	173	"Syn5_2/Syn1_3"	0.0356239097307212
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	3	"Syn1"	1	0.89	25.2	173	"Syn5_3/Syn1_1"	-0.168122758808327
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	3	"Syn1"	2	0.93	14	173	"Syn5_3/Syn1_2"	-0.104697378666693
"P54756"	"Ephrin type-A receptor 5 OS"	"EPHA5"	"EPHA5"	"TK"	681	"49.18%"	9	34	43	260	2.49e+10	1037	114.7	6.93	"Syn5"	3	"Syn1"	3	1.189	18.4	173	"Syn5_3/Syn1_3"	0.249748715083569
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn1"	2	"Syn1"	1	1.148	10.9	58	"Syn1_2/Syn1_1"	0.199122642013601
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn1"	3	"Syn1"	1	0.881	20	58	"Syn1_3/Syn1_1"	-0.182786075741673
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	1	"Syn1"	1	0.793	17.7	58	"Syn5_1/Syn1_1"	-0.334607228958109
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	1	"Syn1"	2	0.862	11.5	58	"Syn5_1/Syn1_2"	-0.214240225572989
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	1	"Syn1"	3	1.038	13.3	58	"Syn5_1/Syn1_3"	0.0538064436957938
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	2	"Syn1"	1	0.696	28.1	58	"Syn5_2/Syn1_1"	-0.522840788813359
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	2	"Syn1"	2	0.734	13.2	58	"Syn5_2/Syn1_2"	-0.446148031818874
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	2	"Syn1"	3	0.887	14.7	58	"Syn5_2/Syn1_3"	-0.172993990361023
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	3	"Syn1"	1	0.896	20.3	58	"Syn5_3/Syn1_1"	-0.158429362604483
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	3	"Syn1"	2	0.966	18.1	58	"Syn5_3/Syn1_2"	-0.0499049058263139
"P54760"	"Ephrin type-B receptor 4 OS"	"EPHB4"	"EPHB4"	"TK"	320.67	"39.51%"	4	28	36	122	2.57e+10	987	108.2	6.9	"Syn5"	3	"Syn1"	3	1.157	24.5	58	"Syn5_3/Syn1_3"	0.210388864445403
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn1"	2	"Syn1"	1	1.037	23.5	9	"Syn1_2/Syn1_1"	0.0524158941511385
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn1"	3	"Syn1"	1	1.149	11.9	9	"Syn1_3/Syn1_1"	0.200378797984026
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	1	"Syn1"	1	2.161	49.1	9	"Syn5_1/Syn1_1"	1.11169907219742
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	1	"Syn1"	2	1.973	55	9	"Syn5_1/Syn1_2"	0.980390956061472
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	1	"Syn1"	3	2.135	55.4	9	"Syn5_1/Syn1_3"	1.09423606984577
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	2	"Syn1"	1	1.753	39.3	9	"Syn5_2/Syn1_1"	0.809825996097451
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	2	"Syn1"	2	1.888	70.2	9	"Syn5_2/Syn1_2"	0.916858764699754
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	2	"Syn1"	3	2.086	61.5	9	"Syn5_2/Syn1_3"	1.06073915785768
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	3	"Syn1"	1	1.754	60.8	9	"Syn5_3/Syn1_1"	0.810648747782646
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	3	"Syn1"	2	1.592	60.9	9	"Syn5_3/Syn1_2"	0.670840335881562
"P54764"	"Ephrin type-A receptor 4 OS"	"EPHA4"	"EPHA4"	"TK"	130.08	"17.55%"	5	10	18	60	1.3e+10	986	109.8	6.61	"Syn5"	3	"Syn1"	3	1.769	70.5	9	"Syn5_3/Syn1_3"	0.822934048028371
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn1"	2	"Syn1"	1	0.861	5.8	19	"Syn1_2/Syn1_1"	-0.215914857265243
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn1"	3	"Syn1"	1	0.858	21.3	19	"Syn1_3/Syn1_1"	-0.220950447162541
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	1	"Syn1"	1	0.831	36.2	19	"Syn5_1/Syn1_1"	-0.267079617891743
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	1	"Syn1"	2	0.921	14.8	19	"Syn5_1/Syn1_2"	-0.118726938570751
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	1	"Syn1"	3	0.973	16.8	19	"Syn5_1/Syn1_3"	-0.0394882898809755
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	2	"Syn1"	1	0.861	24.5	19	"Syn5_2/Syn1_1"	-0.215914857265243
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	2	"Syn1"	2	1.049	13.5	19	"Syn5_2/Syn1_2"	0.0690146779151805
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	2	"Syn1"	3	1.115	21.2	19	"Syn5_2/Syn1_3"	0.15704371014558
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	3	"Syn1"	1	0.969	33.3	19	"Syn5_3/Syn1_1"	-0.045431429247006
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	3	"Syn1"	2	1.111	18	19	"Syn5_3/Syn1_2"	0.151858816727005
"P55263"	"Adenosine kinase OS"	"ADK"	"ADK"	"Metabolic"	50.32	"28.18%"	1	10	10	25	1.95e+09	362	40.5	6.7	"Syn5"	3	"Syn1"	3	1.244	17.6	19	"Syn5_3/Syn1_3"	0.314986485468515
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn1"	2	"Syn1"	1	1.021	12.3	12	"Syn1_2/Syn1_1"	0.0299828662157143
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn1"	3	"Syn1"	1	0.903	34.5	12	"Syn1_3/Syn1_1"	-0.147202107181229
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	1	"Syn1"	1	1.037	20.8	12	"Syn5_1/Syn1_1"	0.0524158941511385
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	1	"Syn1"	2	0.88	12	12	"Syn5_1/Syn1_2"	-0.184424571137427
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	1	"Syn1"	3	0.884	10.1	12	"Syn5_1/Syn1_3"	-0.177881725270655
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	2	"Syn1"	1	1.084	37.2	12	"Syn5_2/Syn1_1"	0.116364756691785
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	2	"Syn1"	2	0.834	21	12	"Syn5_2/Syn1_2"	-0.261880711217424
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	2	"Syn1"	3	0.91	26.9	12	"Syn5_2/Syn1_3"	-0.136061549576028
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	3	"Syn1"	1	1.083	28.6	12	"Syn5_3/Syn1_1"	0.11503324294624
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	3	"Syn1"	2	1.047	19.4	12	"Syn5_3/Syn1_2"	0.0662614422687213
"P78356"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS"	"PIP4K2B"	"PI42B"	"Metabolic"	72.55	"27.64%"	3	5	10	29	8.96e+08	416	47.3	7.33	"Syn5"	3	"Syn1"	3	1.042	17.1	12	"Syn5_3/Syn1_3"	0.0593552776164212
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn1"	2	"Syn1"	1	0.963	16	11	"Syn1_2/Syn1_1"	-0.0543922968186278
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn1"	3	"Syn1"	1	0.876	18.5	11	"Syn1_3/Syn1_1"	-0.190997225060914
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	1	"Syn1"	1	1.041	6.7	11	"Syn5_1/Syn1_1"	0.0579700686373299
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	1	"Syn1"	2	0.983	13	11	"Syn5_1/Syn1_2"	-0.0247366783215064
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	1	"Syn1"	3	0.966	7.9	11	"Syn5_1/Syn1_3"	-0.0499049058263139
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	2	"Syn1"	1	1.065	35.1	11	"Syn5_2/Syn1_1"	0.0908534304511135
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	2	"Syn1"	2	1.09	28.5	11	"Syn5_2/Syn1_2"	0.124328135002202
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	2	"Syn1"	3	1.033	21.2	11	"Syn5_2/Syn1_3"	0.0468402542029724
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	3	"Syn1"	1	1.154	5.8	11	"Syn5_3/Syn1_1"	0.206643223983395
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	3	"Syn1"	2	1.143	13.3	11	"Syn5_3/Syn1_2"	0.192825403552391
"P78362"	"SRSF protein kinase 2 OS"	"SRPK2"	"SRPK2"	"CMGC"	43.34	"17.44%"	11	9	11	19	3.35e+08	688	77.5	4.97	"Syn5"	3	"Syn1"	3	1.11	9.9	11	"Syn5_3/Syn1_3"	0.150559676575381
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn1"	2	"Syn1"	1	0.982	18.9	402	"Syn1_2/Syn1_1"	-0.026205070347394
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn1"	3	"Syn1"	1	0.823	19.5	402	"Syn1_3/Syn1_1"	-0.281035664240461
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	1	"Syn1"	1	0.831	28.4	402	"Syn5_1/Syn1_1"	-0.267079617891743
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	1	"Syn1"	2	0.919	14.2	402	"Syn5_1/Syn1_2"	-0.121863233373052
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	1	"Syn1"	3	0.913	17.1	402	"Syn5_1/Syn1_3"	-0.131313234677865
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	2	"Syn1"	1	0.843	37.9	402	"Syn5_2/Syn1_1"	-0.246395463720005
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	2	"Syn1"	2	0.905	24	402	"Syn5_2/Syn1_2"	-0.144010302691519
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	2	"Syn1"	3	0.925	24.4	402	"Syn5_2/Syn1_3"	-0.112474729258412
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	3	"Syn1"	1	1.006	18.8	402	"Syn5_3/Syn1_1"	0.00863030514344006
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	3	"Syn1"	2	1.124	17	402	"Syn5_3/Syn1_2"	0.168642035558839
"P78527"	"DNA-dependent protein kinase catalytic subunit OS"	"PRKDC"	"PRKDC"	"Atypical"	1289.53	"41.57%"	6	156	156	513	5.01e+09	4128	468.8	7.12	"Syn5"	3	"Syn1"	3	1.152	17.1	402	"Syn5_3/Syn1_3"	0.204140716780225
"Q00534"	"Cyclin-dependent kinase 6 OS"	"CDK6"	"CDK6"	"CMGC"	284.92	"65.34%"	6	17	18	117	1.2e+10	326	36.9	6.46	"Syn1"	2	"Syn1"	1	0.94	15.3	83	"Syn1_2/Syn1_1"	-0.0892673380970874
"Q00534"	"Cyclin-dependent kinase 6 OS"	"CDK6"	"CDK6"	"CMGC"	284.92	"65.34%"	6	17	18	117	1.2e+10	326	36.9	6.46	"Syn1"	3	"Syn1"	1	0.623	35.9	83	"Syn1_3/Syn1_1"	-0.682695931638085
